Ensembl_GeneID	Entrez_GeneID	HGNC_GeneSymbol	Inhi_GeneExpression_log2FPKM	Prec_GeneExpression_log2FPKM	ScrInhi_GeneExpression_log2FPKM	ScrPrec_GeneExpression_log2FPKM
ENSRNOG00000037087	108351584	LOC108351584	3.68381164027775	3.95466227523014	3.58167533438702	3.69831396648
ENSRNOG00000037085	100910104	Xirp1	6.19471762008719	6.21768605778452	6.088746761277	6.04589423438187
ENSRNOG00000011918	171360	Vsx2	0.0212175746838646	0.0579550637956768	0.0156506082122373	0.0115097915656625
ENSRNOG00000007238	297756	LOC297756	0	0	0	0
ENSRNOG00000011910	319110	Hnrnpr	4.74080023373131	4.84344564224195	4.75329444352774	4.80966125333152
ENSRNOG00000007237	25587	Id2	4.06528035150237	4.10932899741213	4.19456200976711	4.12927427447047
ENSRNOG00000011912	306327	Tmem38a	5.28723252277145	5.47534811968546	5.34926621378977	5.37983979842241
ENSRNOG00000011913	24268	Cp	2.77679520074442	2.54197581197811	2.75636767133053	2.80809911734234
ENSRNOG00000011914	362715	Dtnb	2.23303022283056	2.30759595376068	2.21423357003493	2.21274934118892
ENSRNOG00000007230	366848	Kank3	0.682666197571751	0.899579810190427	0.722575656569281	0.767523066735452
ENSRNOG00000007231	117037	Spam1	0	0	0	0
ENSRNOG00000012357	308759	Unc45a	4.19360410176737	4.29651455703789	4.13308512074704	4.10481518338335
ENSRNOG00000012356	155205	Slc36a1	1.86403187917871	1.61856069893861	2.00283198038029	2.02047047733332
ENSRNOG00000017187	100911617	LOC108348173	1.61197297410178	1.17858403249825	1.46733093423048	1.49039463054004
ENSRNOG00000012354	81002	Trim23	3.20155029953121	3.19013747331068	3.30339659901813	3.30075518671694
ENSRNOG00000017181	307366	Malt1	3.37498620984666	3.32447626289718	3.32317141776968	3.29543768502732
ENSRNOG00000017180	306950	Slc17a2	0	0	0	0
ENSRNOG00000017188	301517	Cyp27a1	3.43074036050658	2.56000215418245	3.12902147377253	2.93575806539978
ENSRNOG00000012358	286936	Pcyt1b	0.857372166210602	0.809109522269944	0.867517433842903	0.810907467570351
ENSRNOG00000052374	500224	Lbx2	0	0	0	0
ENSRNOG00000052376	363212	Bend6	1.79937427625184	1.92952642136595	1.84236860350684	1.90596157486665
ENSRNOG00000014980	171050	Mob4	4.73045199242083	4.80538708587482	4.89119626913259	4.88824564057134
ENSRNOG00000014981	291796	Usp14	6.19887596547931	6.21826376080324	6.32966251033796	6.27085380140566
ENSRNOG00000014982	305865	Slc35f4	0	0	0	0
ENSRNOG00000014984	680252	Dmwd	3.55636979079427	3.62133869864763	3.45971958052625	3.49095498777913
ENSRNOG00000014986	298652	Ube4b	4.24361073597361	4.25843395786843	4.21498622822652	4.27710930629465
ENSRNOG00000014987	501097	Mdfi	1.60196130678551	1.71329332494359	1.39624916567845	1.60847811333373
ENSRNOG00000014988	291470	Ftmt	0	0	0	0
ENSRNOG00000039954	498691	RGD1308751	0	0	0	0
ENSRNOG00000039955	685940	Samd3	0	0	0	0
ENSRNOG00000020125	100913063	Cd79a	0	0	0	0
ENSRNOG00000020124	293156	Lrrc51	0.37974588501204	0.626133976174399	0.211931506513146	0.709788528965185
